seq_id	class	organism	mtrA_score	mtoA_score	desc
WP_011071905.1	Shewanella_DmsE	Shewanella oneidensis	539.9	264.7	WP_011071905.1 DmsE family decaheme c-type cytochrome [Shewanella oneidensis]
WP_275658922.1	Shewanella_DmsE	Shewanella sp. Isolate11	539.8	270.0	WP_275658922.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Isolate11]
WP_286992699.1	Shewanella_DmsE	Shewanella sp.	539.7	270.4	WP_286992699.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_263144397.1	Shewanella_DmsE	Shewanella	539.6	270.9	WP_263144397.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_425290101.1	Shewanella_DmsE	Shewanella algae	539.6	281.4	WP_425290101.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
BGZ64325.1	Shewanella_DmsE	Shewanella algae	539.5	283.0	BGZ64325.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QQO85850.1	Shewanella_DmsE	Shewanella algae	539.5	283.0	QQO85850.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_025886747.1	Shewanella_DmsE	Shewanella algae	539.5	283.0	WP_025886747.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_228371160.1	Shewanella_DmsE	Shewanella piezotolerans	539.5	262.4	WP_228371160.1 DmsE family decaheme c-type cytochrome [Shewanella piezotolerans]
WP_219250249.1	Shewanella_DmsE	Shewanella	539.3	271.4	WP_219250249.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_287478767.1	Shewanella_DmsE	Shewanella	539.3	270.9	WP_287478767.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_248973970.1	Shewanella_DmsE	Shewanella kaireitica	539.2	263.9	WP_248973970.1 DmsE family decaheme c-type cytochrome [Shewanella kaireitica]
WVI91912.1	Shewanella_DmsE	Shewanella oncorhynchi	539.2	271.5	WVI91912.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_330147177.1	Shewanella_DmsE	Shewanella oncorhynchi	539.2	271.5	WP_330147177.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_144160519.1	Shewanella_DmsE	Shewanella algae	539.1	281.1	WP_144160519.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
RBP82870.1	Shewanella_DmsE	Shewanella putrefaciens	539.1	268.6	RBP82870.1 DmsE family decaheme c-type cytochrome [Shewanella putrefaciens]
WP_394229427.1	Shewanella_DmsE	Shewanella colwelliana	539.1	270.1	WP_394229427.1 DmsE family decaheme c-type cytochrome [Shewanella colwelliana]
WP_208138400.1	Shewanella_DmsE	Shewanella algae	539.1	280.0	WP_208138400.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_411393891.1	Shewanella_DmsE	Shewanella algae	539.1	282.4	WP_411393891.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_427916268.1	Shewanella_DmsE	Shewanella algae	539.1	280.8	WP_427916268.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_419836915.1	Shewanella_DmsE	Shewanella algae	539.1	282.6	WP_419836915.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_404830079.1	Shewanella_DmsE	Shewanella	539.1	280.2	WP_404830079.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_181800801.1	Shewanella_DmsE	Shewanella oncorhynchi	539.1	268.6	WP_181800801.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_025010715.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	WP_025010715.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1068767.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	GAB1068767.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1100272.1	Shewanella_DmsE	Shewanella algae	539.0	283.4	GAB1100272.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE80177.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	QTE80177.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1064650.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	GAB1064650.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1074986.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	GAB1074986.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1059458.1	Shewanella_DmsE	Shewanella algae	539.0	280.0	GAB1059458.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
WYI90868.1	Shewanella_DmsE	Shewanella chilikensis	538.9	284.0	WYI90868.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
WP_420833527.1	Shewanella_DmsE	Shewanella pneumatophori	538.9	267.3	WP_420833527.1 DmsE family decaheme c-type cytochrome [Shewanella pneumatophori]
WP_101053344.1	Shewanella_DmsE	Shewanella	538.9	284.0	WP_101053344.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
XQK10499.1	Shewanella_DmsE	Shewanella chilikensis	538.9	284.0	XQK10499.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
PYE59422.1	Shewanella_DmsE	Shewanella chilikensis	538.9	284.0	PYE59422.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
QIJ06782.1	Shewanella_DmsE	Shewanella chilikensis	538.9	284.0	QIJ06782.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
WP_263197621.1	Shewanella_DmsE	Shewanella sp. SM20	538.8	271.1	WP_263197621.1 DmsE family decaheme c-type cytochrome [Shewanella sp. SM20]
WP_263163265.1	Shewanella_DmsE	Shewanella sp. SM21	538.8	269.8	WP_263163265.1 DmsE family decaheme c-type cytochrome [Shewanella sp. SM21]
WP_100145470.1	Shewanella_DmsE	Shewanella carassii	538.7	281.0	WP_100145470.1 DmsE family decaheme c-type cytochrome [Shewanella carassii]
WP_219252890.1	Shewanella_DmsE	Shewanella sp. NKUCC05_KAH	538.6	271.3	WP_219252890.1 DmsE family decaheme c-type cytochrome [Shewanella sp. NKUCC05_KAH]
WP_239883161.1	Shewanella_DmsE	Shewanella sp. Isolate7	538.5	257.6	WP_239883161.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Isolate7]
WP_447161584.1	Shewanella_DmsE	Shewanella	538.4	250.4	WP_447161584.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_432386873.1	Shewanella_DmsE	Shewanella oncorhynchi	538.4	269.9	WP_432386873.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_263181131.1	Shewanella_DmsE	unclassified Shewanella	538.4	270.8	WP_263181131.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_432336687.1	Shewanella_DmsE	Shewanella oncorhynchi	538.4	268.5	WP_432336687.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_126166337.1	Shewanella_DmsE	Shewanella khirikhana	538.3	270.7	WP_126166337.1 DmsE family decaheme c-type cytochrome [Shewanella khirikhana]
WP_427916247.1	Shewanella_DmsE	Shewanella algae	538.3	280.6	WP_427916247.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_394202554.1	Shewanella_DmsE	Shewanella waksmanii	538.3	253.8	WP_394202554.1 DmsE family decaheme c-type cytochrome [Shewanella waksmanii]
WP_221061038.1	Shewanella_DmsE	Shewanella algae	538.2	281.7	WP_221061038.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_427910433.1	Shewanella_DmsE	Shewanella algae	538.2	278.6	WP_427910433.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QYK03240.1	Shewanella_DmsE	Shewanella psychrotolerans	538.1	267.8	QYK03240.1 DmsE family decaheme c-type cytochrome [Shewanella psychrotolerans]
WP_374706829.1	Shewanella_DmsE	unclassified Shewanella	538.1	263.3	WP_374706829.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_220071300.1	Shewanella_DmsE	Shewanella psychrotolerans	538.1	267.8	WP_220071300.1 DmsE family decaheme c-type cytochrome [Shewanella psychrotolerans]
WP_425601878.1	Shewanella_DmsE	Shewanella insulae	538.0	259.7	WP_425601878.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
WP_090364685.1	other	Ferrimonas sediminum	537.9	263.2	WP_090364685.1 DmsE family decaheme c-type cytochrome [Ferrimonas sediminum]
SDJ14697.1	other	Ferrimonas sediminum	537.9	263.2	SDJ14697.1 decaheme c-type cytochrome, DmsE family [Ferrimonas sediminum]
WP_407820369.1	Shewanella_DmsE	Shewanella algae	537.9	280.3	WP_407820369.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_011866316.1	Shewanella_DmsE	Shewanella loihica	537.8	255.7	WP_011866316.1 DmsE family decaheme c-type cytochrome [Shewanella loihica]
WP_208124690.1	Shewanella_DmsE	Shewanella algae	537.7	278.8	WP_208124690.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QTE97058.1	Shewanella_DmsE	Shewanella algae	537.7	278.8	QTE97058.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
CAM2856810.1	Shewanella_DmsE	Shewanella loihica	537.7	255.7	CAM2856810.1 DmsE family decaheme c-type cytochrome [Shewanella loihica]
USD36405.1	other	Ferrimonas sp. SCSIO 43195	537.6	263.1	USD36405.1 DmsE family decaheme c-type cytochrome [Ferrimonas sp. SCSIO 43195]
WP_028112255.1	other	Ferrimonas	537.6	263.1	WP_028112255.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Ferrimonas]
WP_221051192.1	Shewanella_DmsE	Shewanella carassii	537.6	278.8	WP_221051192.1 DmsE family decaheme c-type cytochrome [Shewanella carassii]
WP_144225154.1	Shewanella_DmsE	Shewanella algae	537.5	283.3	WP_144225154.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_412501042.1	Shewanella_DmsE	Shewanella chilikensis	537.5	284.0	WP_412501042.1 DmsE family decaheme c-type cytochrome [Shewanella chilikensis]
UYA15366.1	Shewanella_DmsE	Shewanella algae	537.5	283.3	UYA15366.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP40288.1	Shewanella_DmsE	Shewanella algae	537.5	283.3	QXP40288.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP31943.1	Shewanella_DmsE	Shewanella algae	537.5	283.3	QXP31943.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
QXP36182.1	Shewanella_DmsE	Shewanella algae	537.5	283.3	QXP36182.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_212599880.1	Shewanella_DmsE	Shewanella sp. M16	537.4	269.0	WP_212599880.1 DmsE family decaheme c-type cytochrome [Shewanella sp. M16]
WP_144166638.1	Shewanella_DmsE	Shewanella algae	537.3	284.5	WP_144166638.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_263175963.1	Shewanella_DmsE	Shewanella sp. SM103	537.3	269.7	WP_263175963.1 DmsE family decaheme c-type cytochrome [Shewanella sp. SM103]
WP_427925724.1	Shewanella_DmsE	Shewanella algae	537.2	277.0	WP_427925724.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_208163618.1	Shewanella_DmsE	Shewanella algae	537.1	278.1	WP_208163618.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
GAB1038765.1	Shewanella_DmsE	Shewanella algae	537.1	278.2	GAB1038765.1 MAG: DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_427910356.1	Shewanella_DmsE	Shewanella algae	537.0	278.1	WP_427910356.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_215774466.1	Shewanella_DmsE	Shewanella indica	537.0	276.6	WP_215774466.1 DmsE family decaheme c-type cytochrome [Shewanella indica]
WP_263203213.1	Shewanella_DmsE	unclassified Shewanella	537.0	268.4	WP_263203213.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
QWL04670.1	Shewanella_DmsE	Shewanella indica	537.0	276.6	QWL04670.1 DmsE family decaheme c-type cytochrome [Shewanella indica]
WP_484347581.1	Shewanella_DmsE	Shewanella sp.	537.0	269.4	WP_484347581.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
XOL03923.1	Shewanella_DmsE	Shewanella oncorhynchi	536.8	268.2	XOL03923.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_415776136.1	Shewanella_DmsE	Shewanella oncorhynchi	536.8	268.2	WP_415776136.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_263205662.1	Shewanella_DmsE	Shewanella	536.8	267.4	WP_263205662.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_281212609.1	Shewanella_DmsE	Shewanella insulae	536.6	255.6	WP_281212609.1 DmsE family decaheme c-type cytochrome [Shewanella insulae]
WP_434086717.1	Shewanella_DmsE	Shewanella mesophila	536.6	270.1	WP_434086717.1 DmsE family decaheme c-type cytochrome [Shewanella mesophila]
WP_168823643.1	Shewanella_DmsE	Shewanella oncorhynchi	536.6	269.8	WP_168823643.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
QYJ87980.1	Shewanella_DmsE	Shewanella mesophila	536.6	270.3	QYJ87980.1 DmsE family decaheme c-type cytochrome [Shewanella mesophila]
QXP18396.1	Shewanella_DmsE	Shewanella algae	536.6	282.5	QXP18396.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
CAM3344538.1	Shewanella_DmsE	Shewanella pealeana	536.4	262.1	CAM3344538.1 DmsE family decaheme c-type cytochrome [Shewanella pealeana]
WP_398352574.1	Shewanella_DmsE	Shewanella pealeana	536.4	262.1	WP_398352574.1 DmsE family decaheme c-type cytochrome [Shewanella pealeana]
WP_012155918.1	Shewanella_DmsE	Shewanella pealeana	536.4	262.1	WP_012155918.1 DmsE family decaheme c-type cytochrome [Shewanella pealeana]
WP_028760478.1	Shewanella_DmsE	Shewanella	536.1	265.4	WP_028760478.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_427911209.1	Shewanella_DmsE	Shewanella algae	536.1	277.8	WP_427911209.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_263172154.1	Shewanella_DmsE	Shewanella	536.0	267.4	WP_263172154.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_039033877.1	Shewanella_DmsE	Shewanella	535.4	276.8	WP_039033877.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_263186809.1	Shewanella_DmsE	unclassified Shewanella	535.4	266.3	WP_263186809.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_124732393.1	Shewanella_DmsE	Shewanella livingstonensis	535.2	245.9	WP_124732393.1 DmsE family decaheme c-type cytochrome [Shewanella livingstonensis]
AZG74925.1	Shewanella_DmsE	Shewanella livingstonensis	535.2	245.9	AZG74925.1 DmsE family decaheme c-type cytochrome [Shewanella livingstonensis]
CAM4467737.1	Shewanella_DmsE	Shewanella livingstonensis	535.2	245.9	CAM4467737.1 DmsE family decaheme c-type cytochrome [Shewanella livingstonensis]
WP_173245641.1	Shewanella_DmsE	Shewanella sp. DC2-4	535.0	267.5	WP_173245641.1 DmsE family decaheme c-type cytochrome [Shewanella sp. DC2-4]
WP_432317362.1	Shewanella_DmsE	Shewanella oncorhynchi	534.8	268.2	WP_432317362.1 DmsE family decaheme c-type cytochrome [Shewanella oncorhynchi]
WP_425289395.1	Shewanella_DmsE	Shewanella indica	534.8	276.6	WP_425289395.1 DmsE family decaheme c-type cytochrome [Shewanella indica]
WP_198572189.1	Shewanella_DmsE	Shewanella sp. DW31	534.6	269.9	WP_198572189.1 DmsE family decaheme c-type cytochrome [Shewanella sp. DW31]
WP_338253367.1	Shewanella_DmsE	Shewanella	534.6	267.9	WP_338253367.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_115390547.1	Shewanella_DmsE	Shewanella algae	534.6	281.4	WP_115390547.1 DmsE family decaheme c-type cytochrome [Shewanella algae]
WP_415836993.1	Shewanella_DmsE	Shewanella aquimarina	534.4	253.9	WP_415836993.1 DmsE family decaheme c-type cytochrome [Shewanella aquimarina]
CAM3899213.1	Shewanella_DmsE	Shewanella aquimarina	534.4	253.9	CAM3899213.1 DmsE family decaheme c-type cytochrome [Shewanella aquimarina]
WP_372873302.1	Shewanella_DmsE	Shewanella sp.	534.3	271.9	WP_372873302.1 DmsE family decaheme c-type cytochrome, partial [Shewanella sp.]
WP_371411759.1	Shewanella_DmsE	Shewanella halifaxensis	534.2	268.6	WP_371411759.1 DmsE family decaheme c-type cytochrome [Shewanella halifaxensis]
CAM2776869.1	Shewanella_DmsE	Shewanella amazonensis	534.1	276.2	CAM2776869.1 DmsE family decaheme c-type cytochrome [Shewanella amazonensis]
WP_011759329.1	Shewanella_DmsE	Shewanella amazonensis	534.1	276.2	WP_011759329.1 DmsE family decaheme c-type cytochrome [Shewanella amazonensis]
WP_162206714.1	Shewanella_DmsE	Shewanella	533.9	277.4	WP_162206714.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_263214067.1	Shewanella_DmsE	Shewanella sp. SM78	533.3	265.6	WP_263214067.1 DmsE family decaheme c-type cytochrome [Shewanella sp. SM78]
QRH02950.1	Shewanella_DmsE	Shewanella litorisediminis	533.0	279.3	QRH02950.1 DmsE family decaheme c-type cytochrome [Shewanella litorisediminis]
WP_203326530.1	Shewanella_DmsE	Shewanella litorisediminis	533.0	279.3	WP_203326530.1 DmsE family decaheme c-type cytochrome [Shewanella litorisediminis]
WP_028108793.1	other	Ferrimonas futtsuensis	532.6	266.7	WP_028108793.1 DmsE family decaheme c-type cytochrome [Ferrimonas futtsuensis]
WP_482097389.1	Shewanella_DmsE	Shewanella sp.	531.6	271.6	WP_482097389.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_287946072.1	Shewanella_DmsE	Shewanella sp.	531.2	255.2	WP_287946072.1 DmsE family decaheme c-type cytochrome, partial [Shewanella sp.]
WP_417345842.1	other	Ferrimonas sp.	530.9	264.3	WP_417345842.1 DmsE family decaheme c-type cytochrome [Ferrimonas sp.]
QYJ76557.1	Shewanella_DmsE	Shewanella sp. FJAT-52076	530.7	278.6	QYJ76557.1 DmsE family decaheme c-type cytochrome [Shewanella sp. FJAT-52076]
QYK06477.1	Shewanella_DmsE	Shewanella zhangzhouensis	530.7	278.6	QYK06477.1 DmsE family decaheme c-type cytochrome [Shewanella zhangzhouensis]
WP_394147843.1	Shewanella_DmsE	Shewanella atlantica	530.5	255.8	WP_394147843.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
WP_299788787.1	Shewanella_DmsE	uncultured Shewanella sp.	530.5	255.8	WP_299788787.1 DmsE family decaheme c-type cytochrome [uncultured Shewanella sp.]
WP_408733384.1	Shewanella_DmsE	Shewanella	530.5	278.8	WP_408733384.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_286342950.1	other	Ferrimonas sp. YFM	530.4	265.4	WP_286342950.1 DmsE family decaheme c-type cytochrome [Ferrimonas sp. YFM]
WP_059745889.1	Shewanella_DmsE	Shewanella frigidimarina	530.2	244.9	WP_059745889.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
WP_214505409.1	Shewanella_DmsE	Shewanella jiangmenensis	529.6	277.9	WP_214505409.1 DmsE family decaheme c-type cytochrome [Shewanella jiangmenensis]
WP_432400674.1	Shewanella_DmsE	Shewanella sp. MF05960	528.2	242.8	WP_432400674.1 DmsE family decaheme c-type cytochrome [Shewanella sp. MF05960]
WP_475517004.1	Shewanella_DmsE	Shewanella sp. QJM3NY_23	527.2	267.3	WP_475517004.1 DmsE family decaheme c-type cytochrome [Shewanella sp. QJM3NY_23]
WP_238106282.1	Shewanella_DmsE	Shewanella sp.	526.5	235.6	WP_238106282.1 DmsE family decaheme c-type cytochrome [Shewanella sp.]
WP_160052023.1	Shewanella_DmsE	Shewanella litoralis	526.3	242.6	WP_160052023.1 DmsE family decaheme c-type cytochrome [Shewanella litoralis]
WP_119977099.1	Shewanella_DmsE	Shewanella algidipiscicola	526.1	261.9	WP_119977099.1 DmsE family decaheme c-type cytochrome [Shewanella algidipiscicola]
WP_160796427.1	Shewanella_DmsE	Shewanella	525.7	254.3	WP_160796427.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
TKB48249.1	other	Ferrimonas sediminicola	525.0	262.6	TKB48249.1 DmsE family decaheme c-type cytochrome [Ferrimonas sediminicola]
WP_110456807.1	Shewanella_DmsE	Shewanella algidipiscicola	524.7	261.0	WP_110456807.1 DmsE family decaheme c-type cytochrome [Shewanella algidipiscicola]
WP_324614089.1	other	Ferrimonas sediminicola	524.7	262.1	WP_324614089.1 DmsE family decaheme c-type cytochrome [Ferrimonas sediminicola]
WP_136861745.1	other	Ferrimonas aestuarii	524.1	269.4	WP_136861745.1 DmsE family decaheme c-type cytochrome [Ferrimonas aestuarii]
WP_248988246.1	Shewanella_DmsE	Shewanella gelidimarina	524.1	252.9	WP_248988246.1 DmsE family decaheme c-type cytochrome [Shewanella gelidimarina]
TKB58597.1	other	Ferrimonas aestuarii	524.1	269.4	TKB58597.1 DmsE family decaheme c-type cytochrome [Ferrimonas aestuarii]
WP_425596966.1	Shewanella_DmsE	Shewanella algicola	523.9	237.0	WP_425596966.1 DmsE family decaheme c-type cytochrome [Shewanella algicola]
WP_101089466.1	Shewanella_DmsE	unclassified Shewanella	523.5	255.5	WP_101089466.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_130600447.1	Shewanella_DmsE	Shewanella maritima	522.8	243.3	WP_130600447.1 DmsE family decaheme c-type cytochrome [Shewanella maritima]
QBF83388.1	Shewanella_DmsE	Shewanella maritima	522.8	243.3	QBF83388.1 DmsE family decaheme c-type cytochrome [Shewanella maritima]
WP_432301636.1	Shewanella_DmsE	Shewanella frigidimarina	522.5	256.0	WP_432301636.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
AZG33584.1	Shewanella_DmsE	Shewanella psychromarinicola	522.3	257.1	AZG33584.1 DmsE family decaheme c-type cytochrome [Shewanella psychromarinicola]
WP_124013799.1	Shewanella_DmsE	Shewanella psychromarinicola	522.3	257.1	WP_124013799.1 DmsE family decaheme c-type cytochrome [Shewanella psychromarinicola]
RPA23622.1	Shewanella_DmsE	Shewanella psychromarinicola	522.3	257.1	RPA23622.1 DmsE family decaheme c-type cytochrome [Shewanella psychromarinicola]
WP_101086023.1	Shewanella_DmsE	unclassified Shewanella	521.6	256.5	WP_101086023.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_298439185.1	other	uncultured Ferrimonas sp.	521.2	248.9	WP_298439185.1 DmsE family decaheme c-type cytochrome [uncultured Ferrimonas sp.]
WP_188926357.1	Shewanella_DmsE	Shewanella algicola	521.2	237.0	WP_188926357.1 DmsE family decaheme c-type cytochrome [Shewanella algicola]
WP_299797991.1	Shewanella_DmsE	Shewanella atlantica	520.8	239.7	WP_299797991.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
WP_442526995.1	Shewanella_DmsE	Shewanella frigidimarina	520.7	256.6	WP_442526995.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
WP_011638573.1	Shewanella_DmsE	Shewanella	520.7	256.5	WP_011638573.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_442525910.1	Shewanella_DmsE	Shewanella frigidimarina	520.7	256.4	WP_442525910.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
RPA64097.1	Shewanella_DmsE	Shewanella frigidimarina	520.6	255.6	RPA64097.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
QHS15064.1	Shewanella_DmsE	Shewanella sp. Arc9-LZ	520.6	248.5	QHS15064.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Arc9-LZ]
WP_123776485.1	Shewanella_DmsE	Shewanella frigidimarina	520.6	255.6	WP_123776485.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
WP_282109147.1	Shewanella_DmsE	Shewanella algicola	520.0	235.4	WP_282109147.1 DmsE family decaheme c-type cytochrome [Shewanella algicola]
WP_335687394.1	Shewanella_DmsE	Shewanella psychromarinicola	520.0	251.4	WP_335687394.1 DmsE family decaheme c-type cytochrome [Shewanella psychromarinicola]
RTR29300.1	Shewanella_DmsE	Shewanella atlantica	519.3	255.1	RTR29300.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
WP_126507272.1	Shewanella_DmsE	Shewanella atlantica	519.3	255.1	WP_126507272.1 DmsE family decaheme c-type cytochrome [Shewanella atlantica]
WP_012140703.1	Shewanella_DmsE	Shewanella sediminis	519.2	255.0	WP_012140703.1 DmsE family decaheme c-type cytochrome [Shewanella sediminis]
WP_123882123.1	Shewanella_DmsE	Shewanella frigidimarina	518.9	257.0	WP_123882123.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
RPA38600.1	Shewanella_DmsE	Shewanella frigidimarina	518.9	257.0	RPA38600.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
WP_319593220.1	Shewanella_DmsE	Shewanella donghaensis	518.8	240.9	WP_319593220.1 DmsE family decaheme c-type cytochrome [Shewanella donghaensis]
WP_342859722.1	Shewanella_DmsE	Shewanella frigidimarina	518.7	256.2	WP_342859722.1 DmsE family decaheme c-type cytochrome [Shewanella frigidimarina]
WP_102529581.1	Shewanella_DmsE	unclassified Shewanella	518.4	242.2	WP_102529581.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [unclassified Shewanella]
WP_420709429.1	Shewanella_DmsE	Shewanella	518.4	242.0	WP_420709429.1 MULTISPECIES: DmsE family decaheme c-type cytochrome [Shewanella]
WP_182751065.1	Shewanella_DmsE	Shewanella sp. SG44-2	518.3	255.5	WP_182751065.1 DmsE family decaheme c-type cytochrome [Shewanella sp. SG44-2]
RTR37020.1	Shewanella_DmsE	Shewanella canadensis	518.3	256.7	RTR37020.1 DmsE family decaheme c-type cytochrome [Shewanella canadensis]
WP_126522941.1	Shewanella_DmsE	Shewanella canadensis	518.3	256.7	WP_126522941.1 DmsE family decaheme c-type cytochrome [Shewanella canadensis]
QIZ76018.1	other	Ferrimonas lipolytica	518.2	246.4	QIZ76018.1 DmsE family decaheme c-type cytochrome [Ferrimonas lipolytica]
WP_168659279.1	other	Ferrimonas lipolytica	518.2	246.4	WP_168659279.1 DmsE family decaheme c-type cytochrome [Ferrimonas lipolytica]
QQX79860.1	Shewanella_DmsE	Shewanella sp. KX20019	518.1	256.4	QQX79860.1 DmsE family decaheme c-type cytochrome [Shewanella sp. KX20019]
WP_202286762.1	Shewanella_DmsE	Shewanella sp. KX20019	518.1	256.4	WP_202286762.1 DmsE family decaheme c-type cytochrome [Shewanella sp. KX20019]
WP_101032759.1	Shewanella_DmsE	Shewanella sp. Actino-trap-3	518.1	251.8	WP_101032759.1 DmsE family decaheme c-type cytochrome [Shewanella sp. Actino-trap-3]
WP_351124465.1	Shewanella_DmsE	Shewanella sp. T24-MNA-CIBAN-0130	518.0	252.1	WP_351124465.1 DmsE family decaheme c-type cytochrome [Shewanella sp. T24-MNA-CIBAN-0130]
WP_351076670.1	Shewanella_DmsE	Shewanella sp. CAL98-MNA-CIBAN-0140	517.9	251.1	WP_351076670.1 DmsE family decaheme c-type cytochrome [Shewanella sp. CAL98-MNA-CIBAN-0140]
WP_248983775.1	Shewanella_DmsE	Shewanella olleyana	517.9	242.3	WP_248983775.1 DmsE family decaheme c-type cytochrome [Shewanella olleyana]
